,all_day,close_date,close_time_h,close_time_i,close_time_s,companyNM,content_type,cycle,cycle_day,cycle_week,duration,for_tag,id,is_live,link,lite_archives_id,lite_archives_name,name,one_play,open_date,open_loop,open_time_h,open_time_i,open_time_s,play_mode,play_speed,play_time,play_time_h,play_time_i,play_time_s,play_time_unit,schedule_head_id,select_style_id,source,start,style,style_name,text_content,thumbnail,type,video_id,video_source,video_title,week
737,,,3,15,0,Al Zayani,1,,,,,0,6155,,,,,Benq Demo,,2019-08-20,,3,10,0,1.0,,,,,,,34345,,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,"Welcome to NHRA, Bahrain !!",,1,,,,
738,,,3,10,0,Al Zayani,1,,,,,0,6155,,,,,Benq Demo,,2019-08-20,,3,0,0,1.0,,,,,,,,5552,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,"Welcome to NHRA, Bahrain !!",,1,,,,
739,,,15,30,0,Al Zayani,1,,,,,0,6155,,,,,Benq Demo,,2019-08-20,,15,10,0,2.0,,,,,,,,5553,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,"Welcome to NHRA, Bahrain !!",,1,,,,
740,,,,,,SARCO OMAN,1,,,,,1,3028,,,,,All device,,,,,,,2.0,,10,,,,i,,5721,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,Happy to be in Oman,,1,,,,
741,,,,,,SARCO OMAN,1,,,,,1,3028,,,,,All device,,,,,,,2.0,,10,,,,i,,5721,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,welcome to Indian School. Oman,,1,,,,
742,,,,,,SARCO OMAN,1,,,,,1,3028,,,,,All device,,,,,,,1.0,,10,,,,i,,5720,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,hello good Morning,,1,,,,
743,,,,,,BenQ,1,,,,,0,6533,,,,,Pablo ,,,,,,,1.0,,10,,,,i,,5332,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,HELLO TEAM,,1,,,,
744,,,,,,BenQ,1,,,,,0,6533,,,,,Pablo ,,,,,,,2.0,,10,,,,i,,5333,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,ARE YOU READY FOR THE TEST? ,,1,,,,
745,,,,,,CAC,2,,,,3.0,0,6310,,,['17559'],CACLOGO_white-background.jpg,Digitech New,0,,,,,,,3,,0,0,30,,,,,,,,,,2,,,,
746,,,,,,CAC,2,,,,3.0,0,6310,,,['17559'],CACLOGO_white-background.jpg,Digitech New,1,,,,,,,3,,0,1,0,,,,,,,,,,2,,,,
