"description";"SHID";"COMID";"COMNM"
"{""id"":""4257"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Benq Demo Room"",""open_date"":""2019-01-24"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""5"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""16"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Welcome to BQME"",""select_style_id"":""3407"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"22163";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Benq Demo Room"",""schedule_head_id"":""22165"",""open_date"":""2019-01-24"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""0"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""0"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Welcome to BQME"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#9900ff\"",\""background_color\"":\""#ffd9ead3\"",\""scroll_direction\"":\""left\""}""}";"22165";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Benq Demo Room"",""link"":""https:\/\/www.youtube.com\/watch?v=bS2a8-dwf84"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":275,""start"":0,""video_title"":""BenQ Education IFP Product Video"",""video_id"":""bS2a8-dwf84"",""video_source"":1}";"22166";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Benq Demo Room"",""open_date"":""2019-01-24"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""12"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""17"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Welcome to BQME"",""select_style_id"":""3408"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#9900ff\"",\""background_color\"":\""#ffd9ead3\"",\""scroll_direction\"":\""left\""}""}";"22181";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Benq Demo Room"",""open_date"":""2019-01-24"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""13"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""14"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Welcome to BQME"",""select_style_id"":""4019"",""play_mode"":2,""style_name"":""Benq "",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#9900ff\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"22182";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Benq Demo Room"",""open_date"":""2019-01-24"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""13"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""14"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Fire"",""select_style_id"":""4019"",""play_mode"":2,""style_name"":""Benq "",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#9900ff\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"22183";"2190";"New Smart"
"{""id"":""4348"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Rima TV"",""text_content"":""hello"",""select_style_id"":""3375"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"22746";"2174";"Dunecrest"
"{""id"":""4348"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Rima TV"",""open_date"":""2019-02-03"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""0"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""0"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""hello"",""select_style_id"":""3376"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"22747";"2174";"Dunecrest"
"{""id"":""2076"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""schedule_head_id"":""22901"",""text_content"":""WELCOME TO GOLDEN TEMPLE HARE RAMA HARE HARE HARE KRISHNA HARE HARE"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#cc0000\"",\""background_color\"":\""#ffffd966\"",\""scroll_direction\"":\""right\""}""}";"22901";"2501";"Maxx Business Sy"
"{""id"":""2076"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""WELCOME TO GOLDEN TEMPLE HARE RAMA HARE HARE HARE KRISHNA HARE HARE"",""select_style_id"":""4045"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#cc0000\"",\""background_color\"":\""#ffffd966\"",\""scroll_direction\"":\""right\""}""}";"22902";"2501";"Maxx Business Sy"
