"description";"SHID";"COMID";"COMNM"
"{""id"":""2784"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""open_date"":""2019-07-03"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""7"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""8"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""hello"",""select_style_id"":""5309"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"31412";"3113";"AWS"
"{""id"":""2766"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Hi...."",""select_style_id"":""5275"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"31497";"3096";"Al Tayer Motors"
"{""id"":""5850"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Inspection room no 5"",""text_content"":""Hi..."",""select_style_id"":""5275"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"31501";"3096";"Al Tayer Motors"
"{""id"":""5775"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Inspection Room No 7"",""text_content"":""Hi..."",""select_style_id"":""5275"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"31502";"3096";"Al Tayer Motors"
"{""id"":""5775"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Inspection Room No 7"",""video_source"":""0"",""lite_archives_id"":[""16419""],""lite_archives_name"":""360_Degree Camera with Split-View Display and Camera Wash  Lincoln.mp4"",""link"":null,""play_time_h"":""0"",""play_time_i"":""2"",""play_time_s"":""37"",""duration"":157}";"31504";"3096";"Al Tayer Motors"
"{""id"":""5775"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Inspection Room No 7"",""video_source"":""1"",""lite_archives_id"":[],""lite_archives_name"":null,""link"":""https:\/\/www.youtube.com\/watch?v=zJCrrTk-dLQ"",""play_time_h"":""0"",""play_time_i"":""2"",""play_time_s"":""42"",""is_live"":false,""duration"":162,""start"":0,""video_title"":""Inside Chich\u00e9n Itz\u00e1 - 360 | National Geographic"",""video_id"":""zJCrrTk-dLQ""}";"31505";"3096";"Al Tayer Motors"
"{""id"":""5850"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Inspection room no 5"",""text_content"":""Hi..."",""select_style_id"":""5275"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"31507";"3096";"Al Tayer Motors"
"{""id"":""2803"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""lite_archives_id"":[""16454""],""lite_archives_name"":""BACKGROUND.png"",""play_speed"":""3"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""3"",""duration"":3}";"31582";"3130";"Xtreme Technolog"
"{""id"":""2808"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""THIS IS NOT A TEST"",""select_style_id"":""5355"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"31756";"3135";"QA HE"
"{""id"":""2808"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""."",""select_style_id"":""5355"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"31757";"3135";"QA HE"
"{""id"":""2647"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""Bonnes vacances"",""text_content"":""allo gang"",""select_style_id"":""4604"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"31767";"2770";"iClass Canada"
"{""id"":""2647"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""Bonnes vacances"",""text_content"":""hjvkhgkiglkb"",""select_style_id"":""4604"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"31768";"2770";"iClass Canada"
"{""id"":""2399"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Hello Classmates!!!"",""select_style_id"":""4617"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"31778";"2776";"Synnex NZ"
"{""id"":""2196"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""\u5168\u90e8\u8a2d\u5099"",""video_source"":""1"",""lite_archives_id"":[],""lite_archives_name"":null,""link"":""https:\/\/www.youtube.com\/watch?v=FwnXGRGVEcw"",""play_time_h"":""0"",""play_time_i"":""3"",""play_time_s"":""15"",""is_live"":false,""duration"":195,""start"":0,""video_title"":""\u73fe\u4ee3\u7248\u767d\u96ea\u516c\u4e3b\uff01(\u8521\u963f\u560ex\u4e2d\u4fe1\u53cd\u6bd2\u6559\u80b2\u57fa\u91d1\u6703)"",""video_id"":""FwnXGRGVEcw""}";"31859";"2600";"臺中市立大道國中"
"{""id"":""5912"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""A15"",""text_content"":""\u6e2c\u8a66"",""select_style_id"":""4251"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"31860";"2600";"臺中市立大道國中"
"{""id"":""5912"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""A15"",""video_source"":""1"",""lite_archives_id"":[],""lite_archives_name"":null,""link"":""https:\/\/www.youtube.com\/watch?v=FwnXGRGVEcw"",""play_time_h"":""0"",""play_time_i"":""3"",""play_time_s"":""15"",""is_live"":false,""duration"":195,""start"":0,""video_title"":""\u73fe\u4ee3\u7248\u767d\u96ea\u516c\u4e3b\uff01(\u8521\u963f\u560ex\u4e2d\u4fe1\u53cd\u6bd2\u6559\u80b2\u57fa\u91d1\u6703)"",""video_id"":""FwnXGRGVEcw""}";"31861";"2600";"臺中市立大道國中"
"{""id"":""2531"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""\u5168\u90e8\u8a2d\u5099"",""text_content"":""20190712"",""select_style_id"":""4860"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"31934";"2895";"臺中市爽文國民中學"
"{""id"":""2531"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""\u5168\u90e8\u8a2d\u5099"",""text_content"":""20190612testtesttesttesttesttest"",""select_style_id"":""4860"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"31935";"2895";"臺中市爽文國民中學"
"{""id"":""2531"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""\u5168\u90e8\u8a2d\u5099"",""lite_archives_id"":[""16642""],""lite_archives_name"":""IMG_1227.JPG"",""play_speed"":""3"",""play_time_h"":""0"",""play_time_i"":""10"",""play_time_s"":""3"",""duration"":3}";"31936";"2895";"臺中市爽文國民中學"
"{""id"":""2531"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""\u5168\u90e8\u8a2d\u5099"",""text_content"":""1112221112221112223456"",""select_style_id"":""4860"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""\u516c\u544a2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""#ffffffff\"",\""scroll_direction\"":\""left\""}""}";"31937";"2895";"臺中市爽文國民中學"
"{""id"":""5971"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BenQ RP7501K Showroom"",""text_content"":""Welkom Bert, Fokke, Pieter en Luc."",""select_style_id"":""759"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"31991";"629";"HCS Interactief"
"{""id"":""381"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""open_date"":""2019-07-22"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""8"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""8"",""close_time_i"":""30"",""close_time_s"":""0"",""text_content"":""Wellom bij HCS Interactief"",""select_style_id"":""759"",""play_mode"":2,""style_name"":""Notice_1"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#3d85c6\"",\""background_color\"":\""#ffcccccc\"",\""scroll_direction\"":\""left\""}""}";"31992";"629";"HCS Interactief"
"{""id"":""2040"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""open_date"":""2019-07-13"",""open_loop"":""1"",""all_day"":""1"",""cycle"":""day"",""cycle_day"":""1"",""cycle_week"":""1"",""close_date"":""2019-07-13"",""week"":null,""open_time_h"":null,""open_time_i"":null,""open_time_s"":null,""close_time_h"":null,""close_time_i"":null,""close_time_s"":null,""lite_archives_id"":[""16679""],""lite_archives_name"":""falcon_wallpapers-25466-9837391.jpg"",""play_speed"":""5"",""duration"":5}";"31994";"2466";"New Smart Office"
"{""id"":""5975"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""AIT DEMO"",""text_content"":""hello"",""select_style_id"":""5409"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32029";"3162";"Advanced Tech"
"{""id"":""6007"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Sage 122"",""text_content"":""merhaba arakda\u015flar bu bir test yay\u0131n\u0131d\u0131r."",""select_style_id"":""2968"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32165";"1965";"Robert College"
"{""id"":""1485"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""bu bir deneme"",""select_style_id"":""2968"",""play_time"":""25"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32166";"1965";"Robert College"
"{""id"":""1485"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""video_source"":""1"",""lite_archives_id"":[],""lite_archives_name"":null,""link"":""https:\/\/youtu.be\/S7ip2ZxoE9g"",""play_time_h"":""0"",""play_time_i"":""5"",""play_time_s"":""13"",""is_live"":false,""duration"":313,""start"":0,""video_title"":""Yakamoz (Cem Adrian)"",""video_id"":""S7ip2ZxoE9g""}";"32167";"1965";"Robert College"
"{""id"":""1485"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""lite_archives_id"":[""16758""],""lite_archives_name"":""IMG_7682.jpg"",""play_speed"":""3"",""play_time_h"":""0"",""play_time_i"":""5"",""play_time_s"":""13"",""duration"":3}";"32168";"1965";"Robert College"
"{""id"":""1485"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""lite_archives_id"":[""16759"",""16760"",""16761"",""16762"",""16763""],""lite_archives_name"":""WhatsApp Image 2019_01-12 at 19.21.23 (1).jpeg, WhatsApp Image 2019_01-12 at 19.21.23.jpeg, WhatsApp Image 2019_01-12 at 19.21.22.jpeg, WhatsApp Image 2019_01-12 at 19.21.21 (1).jpeg, WhatsApp Image 2019_01-12 at 19.21.21.jpeg"",""play_speed"":""3"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""15"",""duration"":15}";"32169";"1965";"Robert College"
"{""id"":""1485"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""deneme 123"",""select_style_id"":""2968"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32170";"1965";"Robert College"
"{""id"":""1485"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""video_source"":""1"",""lite_archives_id"":[],""lite_archives_name"":null,""link"":""https:\/\/youtu.be\/VoIK-Qw9Jec"",""play_time_h"":""0"",""play_time_i"":""4"",""play_time_s"":""23"",""is_live"":false,""duration"":263,""start"":0,""video_title"":""Deniz Tekin-Ayr\u0131l\u0131k ( Cover )"",""video_id"":""VoIK-Qw9Jec""}";"32171";"1965";"Robert College"
"{""id"":""1407"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Bienvenidos a Soluciones en Linea"",""select_style_id"":""2811"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""Notice_1"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#ffffff\"",\""background_color\"":\""#ff351c75\"",\""text_align\"":\""left\""}""}";"32285";"1886";"Soluciones en li"
"{""id"":""2874"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Mark Summerhays is the coolest guy BenQ knows."",""select_style_id"":""5469"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32286";"3192";"FamilySearch"
"{""id"":""2431"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""HELLO! this is a test"",""select_style_id"":""4680"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32329";"2807";"CAC"
"{""id"":""2431"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""lite_archives_id"":[""16819""],""lite_archives_name"":""CAC_Aerial-welcome.jpg"",""play_speed"":""3"",""play_time_h"":""0"",""play_time_i"":""5"",""play_time_s"":""3"",""duration"":3}";"32330";"2807";"CAC"
"{""id"":""6039"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Digitech"",""video_source"":""0"",""lite_archives_id"":[""16820""],""lite_archives_name"":""Coomera Anglican College Overview Video.mp4"",""link"":null,""play_time_h"":""0"",""play_time_i"":""19"",""play_time_s"":""0"",""duration"":217}";"32332";"2807";"CAC"
"{""id"":""6042"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""123"",""open_date"":""2019-07-19"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":null,""open_time_i"":null,""open_time_s"":null,""close_time_h"":null,""close_time_i"":null,""close_time_s"":null,""text_content"":""hello    \u4f60\u597d"",""select_style_id"":""4477"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""#ff9fc5e8\"",\""scroll_direction\"":\""left\""}""}";"32342";"2708";"眺望者智能科技（上海）有限公司"
"{""id"":""6042"",""for_tag"":""0"",""type"":""2"",""content_type"":""2"",""name"":""123"",""lite_archives_id"":[""16822""],""lite_archives_name"":""\u5e03\u83b1\u5fb7 \u51ac\u5929 \u6e56 \u65af\u6d1b\u6587\u5c3c\u4e9a \u57ce\u5821 \u5c9b \u963f\u5c14\u5351\u65af\u5c71 \u5929\u7a7a \u6559\u5802 4k\u98ce\u666f\u58c1\u7eb83840x2160_\u5f7c\u5cb8\u56fe\u7f51.jpg"",""play_speed"":""3"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""3"",""duration"":3}";"32343";"2708";"眺望者智能科技（上海）有限公司"
"{""id"":""6042"",""for_tag"":""0"",""type"":""2"",""content_type"":""2"",""name"":""123"",""lite_archives_id"":[""16822""],""lite_archives_name"":""\u5e03\u83b1\u5fb7 \u51ac\u5929 \u6e56 \u65af\u6d1b\u6587\u5c3c\u4e9a \u57ce\u5821 \u5c9b \u963f\u5c14\u5351\u65af\u5c71 \u5929\u7a7a \u6559\u5802 4k\u98ce\u666f\u58c1\u7eb83840x2160_\u5f7c\u5cb8\u56fe\u7f51.jpg"",""play_speed"":""3"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""3"",""duration"":3}";"32344";"2708";"眺望者智能科技（上海）有限公司"
"{""id"":""6042"",""for_tag"":""0"",""type"":""2"",""content_type"":""2"",""name"":""123"",""lite_archives_id"":[""16822""],""lite_archives_name"":""\u5e03\u83b1\u5fb7 \u51ac\u5929 \u6e56 \u65af\u6d1b\u6587\u5c3c\u4e9a \u57ce\u5821 \u5c9b \u963f\u5c14\u5351\u65af\u5c71 \u5929\u7a7a \u6559\u5802 4k\u98ce\u666f\u58c1\u7eb83840x2160_\u5f7c\u5cb8\u56fe\u7f51.jpg"",""play_speed"":""5"",""play_time_h"":""0"",""play_time_i"":""1"",""play_time_s"":""1"",""duration"":5}";"32345";"2708";"眺望者智能科技（上海）有限公司"
"{""id"":""2040"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""open_date"":""2019-07-22"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""10"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""11"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""welcome.................."",""select_style_id"":""3971"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"32437";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""schedule_head_id"":""32488"",""open_date"":""2019-07-23"",""open_loop"":"""",""all_day"":"""",""cycle"":"""",""cycle_day"":"""",""cycle_week"":"""",""close_date"":"""",""week"":"""",""open_time_h"":""14"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""15"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""welcome................."",""play_mode"":2,""style_name"":""welcome........................."",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32488";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""open_date"":""2019-07-23"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""11"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""11"",""close_time_i"":""30"",""close_time_s"":""0"",""text_content"":""welcome................."",""select_style_id"":""3972"",""play_mode"":2,""style_name"":""welcome........................."",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32489";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""schedule_head_id"":""32493"",""open_date"":""2019-07-23"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""11"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""12"",""close_time_i"":""0"",""close_time_s"":""0"",""lite_archives_id"":[""16885""],""lite_archives_name"":""plan_retail.jpg"",""play_speed"":""3"",""duration"":3}";"32493";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""schedule_head_id"":""32488"",""open_date"":""2019-07-23"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""11"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""11"",""close_time_i"":""30"",""close_time_s"":""0"",""text_content"":""welcome................."",""play_mode"":2,""style_name"":""welcome........................."",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32496";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""open_date"":""2019-07-23"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""13"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""13"",""close_time_i"":""30"",""close_time_s"":""0"",""lite_archives_id"":[""16885""],""lite_archives_name"":""plan_retail.jpg"",""play_speed"":""3"",""duration"":3}";"32497";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""schedule_head_id"":""32493"",""open_date"":""2019-07-23"",""open_loop"":"""",""all_day"":"""",""cycle"":"""",""cycle_day"":"""",""cycle_week"":"""",""close_date"":"""",""week"":"""",""open_time_h"":""11"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""11"",""close_time_i"":""30"",""close_time_s"":""0"",""lite_archives_id"":[""16885""],""lite_archives_name"":""plan_retail.jpg"",""play_speed"":""3"",""duration"":3}";"32498";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""schedule_head_id"":""32493"",""open_date"":""2019-07-23"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""11"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""11"",""close_time_i"":""30"",""close_time_s"":""0"",""lite_archives_id"":[""16885""],""lite_archives_name"":""plan_retail.jpg"",""play_speed"":""3"",""duration"":3}";"32499";"2466";"New Smart Office"
"{""id"":""2040"",""for_tag"":""1"",""type"":""2"",""content_type"":""2"",""name"":""All device"",""schedule_head_id"":""32493"",""open_date"":""2019-07-23"",""open_loop"":"""",""all_day"":"""",""cycle"":"""",""cycle_day"":"""",""cycle_week"":"""",""close_date"":"""",""week"":"""",""open_time_h"":""11"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""12"",""close_time_i"":""0"",""close_time_s"":""0"",""lite_archives_id"":[""16885""],""lite_archives_name"":""plan_retail.jpg"",""play_speed"":""3"",""duration"":3}";"32501";"2466";"New Smart Office"
"{""id"":""1911"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""hello"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#ffff00\"",\""background_color\"":\""#ffff0000\"",\""scroll_direction\"":\""left\""}""}";"32539";"2366";"BG Innovations"
"{""id"":""2190"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""this is a test for fire drill"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""#ffffff00\"",\""scroll_direction\"":\""left\""}""}";"32542";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""video_source"":""1"",""lite_archives_id"":[],""lite_archives_name"":null,""link"":""https:\/\/youtu.be\/bS2a8-dwf84"",""play_time_h"":""0"",""play_time_i"":""4"",""play_time_s"":""35"",""is_live"":false,""duration"":275,""start"":0,""video_title"":""BenQ Education IFP Product Video"",""video_id"":""bS2a8-dwf84""}";"32543";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""video_source"":""1"",""lite_archives_id"":[],""lite_archives_name"":null,""link"":""https:\/\/youtu.be\/bS2a8-dwf84"",""play_time_h"":""0"",""play_time_i"":""4"",""play_time_s"":""35"",""is_live"":false,""duration"":275,""start"":0,""video_title"":""BenQ Education IFP Product Video"",""video_id"":""bS2a8-dwf84""}";"32544";"2595";"Data Image"
"{""id"":""1911"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Twins will win the world series!!!"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#ffff00\"",\""background_color\"":\""#ffff0000\"",\""scroll_direction\"":\""left\""}""}";"32545";"2366";"BG Innovations"
"{""id"":""2290"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""\u5168\u90e8\u8a2d\u5099"",""text_content"":""hello"",""select_style_id"":""4434"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"32557";"2687";"BenQ"
"{""id"":""2290"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""\u5168\u90e8\u8a2d\u5099"",""text_content"":""hello"",""select_style_id"":""4433"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"32558";"2687";"BenQ"
