"id","company_id","name","com_name","group_id","is_ifp","player_os_version","model_id","model_name","created_at"
"4685","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:40:59"
"4686","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:42:47"
"4687","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:44:17"
"4691","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:56:49"
"4693","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 12:02:19"
"4694","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","17","RP654K","2019-03-10 12:13:40"
"4695","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 12:16:01"
"4696","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 12:17:21"
"5141","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-05 10:48:31"
"5142","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-05 11:32:25"
"5143","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-05 11:39:30"
"5144","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-05 12:00:59"
"5145","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-05 12:02:28"
"5148","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-05 12:08:45"
"5153","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-06 02:53:44"
"5154","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-06 03:33:22"
"5279","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-16 06:16:12"
"5286","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-16 08:50:05"
"5294","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-16 09:50:14"
"5295","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-16 09:51:25"
"5296","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-16 09:54:07"
"5297","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-16 09:54:35"
"5382","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-05-27 03:57:08"
"4549","2320","Creanet I.S. AG","Switzerland","3916","1","6.0","35","RP7501K","2019-02-28 17:10:08"
"5378","2355","EDICO","Hong Kong","3977","1","5.1.1","19","RP750K","2019-05-25 02:35:13"
"5530","2366","BG Innovations","United States","4016","1","6.0","34","RP6501K","2019-06-11 18:05:39"
"5189","2367","Tserlin Pty Ltd","Australia","4017","1","6.0","34","RP6501K","2019-05-08 03:56:43"
"4016","2400","台中市溪南國中","Taiwan","4075","1","5.0.1","37","RP755S","2018-12-25 01:26:45"
"4018","2400","台中市溪南國中","Taiwan","4075","1","5.0.1","37","RP755S","2018-12-25 01:38:44"
"4019","2400","台中市溪南國中","Taiwan","4075","1","5.0.1","37","RP755S","2018-12-25 01:39:10"
"4024","2400","台中市溪南國中","Taiwan","4075","1","5.0.1","37","RP755S","2018-12-25 07:13:57"
"6985","2400","台中市溪南國中","Taiwan","4075","1",NULL,NULL,NULL,"2019-09-20 01:58:42"
"6986","2400","台中市溪南國中","Taiwan","4075","1",NULL,NULL,NULL,"2019-09-20 01:59:10"
"6987","2400","台中市溪南國中","Taiwan","4075","1",NULL,NULL,NULL,"2019-09-20 01:59:34"
"6988","2400","台中市溪南國中","Taiwan","4075","1","5.1.1","19","RP750K","2019-09-20 01:59:56"
"4483","2489","NJSD","United States","4226","1","5.1.1","18","RP704K","2019-02-22 17:51:36"
"4501","2489","NJSD","United States","4226","1","5.1.1","18","RP704K","2019-02-25 17:36:15"
"4410","2544","Schoolhouse","United States","4343","1","6.0","35","RP7501K","2019-02-12 19:46:06"
"4921","2555","CSCG","CANADA","4360","1","6.0","35","RP7501K","2019-04-08 19:57:41"
"4422","2556","Computer Allianc","Australia","4361","1","6.0","34","RP6501K","2019-02-14 05:47:27"
"4461","2587","Alloys","Australia","4419","1","6.0","34","RP6501K","2019-02-19 23:49:47"
"4474","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-02-22 06:54:05"
"4555","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 02:59:08"
"4556","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 03:07:04"
"4557","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 03:17:08"
"4558","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 03:23:14"
"4559","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 03:29:59"
"4560","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 03:41:17"
"4561","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 03:44:08"
"4562","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 04:02:04"
